base_risk,max_positions,max_new,exposure_mult,vol_scale,cagr,max_dd,final
0.0275,8,2,1.2,True,12.712114366503258,24.62051637256896,269934.46861409827
0.0275,8,2,1.2,False,13.710489208164223,29.18005853044125,292692.5316844906
0.0275,8,3,0.9,True,18.751042524004014,20.567670993911616,435820.3461189282
0.0275,8,3,0.9,False,20.82583910674609,21.29621900329758,510919.272239917
0.0275,8,3,1.0,True,18.566268116588592,23.365963227964546,429635.5536788881
0.0275,8,3,1.0,False,20.10544893525472,24.22653662973592,483631.4495723781
0.0275,8,3,1.1,True,18.81250083178021,24.43858981260718,437894.9971275058
0.0275,8,3,1.1,False,18.99892175165856,27.176303309348178,444241.95531565393
0.0275,8,3,1.2,True,16.341556256502198,25.27850332775154,361072.73774840136
0.0275,8,3,1.2,False,17.440505453504773,28.158349936584298,393614.6003495675
0.0275,10,1,0.9,True,15.833671888760348,27.956664415600063,346860.62079762854
0.0275,10,1,0.9,False,17.365001286566752,31.336428869853588,391297.9645170243
0.0275,10,1,1.0,True,15.515649123754027,32.086509095661135,338217.2677821941
0.0275,10,1,1.0,False,17.11302139989135,36.01478348089518,383654.3306323965
0.0275,10,1,1.1,True,15.802016104641382,32.842710164299845,345991.534219612
0.0275,10,1,1.1,False,16.757076497807976,41.417654955876465,373083.7019090028
0.0275,10,1,1.2,True,15.101328214269483,38.83905220276696,327244.7810167576
0.0275,10,1,1.2,False,16.90801414847234,43.35059377576574,377534.03624122223
0.0275,10,2,0.9,True,16.29552533293439,23.394402807651513,359763.60994853004
0.0275,10,2,0.9,False,18.23515280242112,22.935749704269245,418747.7914458598
0.0275,10,2,1.0,True,16.63512617858356,23.94764945630172,369522.25210621016
0.0275,10,2,1.0,False,18.345020408955826,25.505913499494426,422332.8930680067
0.0275,10,2,1.1,True,16.038667564462482,27.847529861463904,352535.86922933377
0.0275,10,2,1.1,False,16.026953104178986,35.680552393260655,352209.3425492694
0.0275,10,2,1.2,True,13.720631116148162,25.626334669435234,292932.2296094884
0.0275,10,2,1.2,False,13.286459620376645,37.69447307808356,282825.9110347132
0.0275,10,3,0.9,True,17.593715297873835,22.562798627016406,398353.0139414692
0.0275,10,3,0.9,False,19.34937705727886,23.260366967639335,456395.97273215075
0.0275,10,3,1.0,True,18.03920228986522,21.709105921946495,412420.96631209075
0.0275,10,3,1.0,False,19.27985005993216,25.21780141213275,453961.438752193
0.0275,10,3,1.1,True,17.92489880886665,25.415796724563407,408769.81484146847
0.0275,10,3,1.1,False,19.53364536383766,26.10716088034424,462904.6212848154
0.0275,10,3,1.2,True,16.115628866534394,26.668343690931728,354687.789763308
0.0275,10,3,1.2,False,17.32810269723992,27.21089489966639,390170.25939865
